time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
29,100.0,14848,20,712,-457.32300000000004,1.0330424308776855,2672.750587463379,0.2,0.00885292,-2.384185791015625e-07,280,1160.04541015625,0.0003,0.1078125,-0.01157275658333674,-8.708207786083221,,
30,100.0,15360,21,713,-457.05999999999995,1.0365222692489624,2514.2962272644045,0.2,0.010519156,-7.152557373046875e-07,290,1019.3124389648438,0.0003,0.1587890625,-0.02176837985171005,-8.719577062129975,,
31,100.0,15872,22,714,-457.22,1.0383665561676025,2545.4363021850586,0.2,0.006425188,-9.5367431640625e-07,300,1211.3017578125,0.0003,0.09765625,-0.013905499421525747,-8.73194631934166,,
,,16000,,,,1.0390454530715942,2612.779576873779,0.2,0.015205442,-3.5762786865234375e-07,310,1182.2301025390625,0.0003,0.1755859375,-0.020831200713291764,-8.74029716849327,-505.5,100.0
32,100.0,16384,20,806,-456.471,,,,,,,,,,,,,
33,100.0,16896,20,806,-456.173,1.040851354598999,2584.740036773682,0.2,0.015956193,4.76837158203125e-07,320,1134.503662109375,0.0003,0.1390625,-0.02427601378876716,-8.746531361341477,,
34,100.0,17408,21,807,-456.04699999999997,1.0333235263824463,2629.299247741699,0.2,0.011917332,-5.960464477539062e-07,330,1143.4190673828125,0.0003,0.1771484375,-0.020671755797229706,-8.7320327937603,,
35,100.0,17920,22,808,-455.8259999999999,1.0271389484405518,2727.4925994873047,0.2,0.010459101,1.1920928955078125e-07,340,1493.218017578125,0.0003,0.126953125,-0.01712432139320299,-8.689367920160294,,
,,18000,,,,1.0308318138122559,2495.396403503418,0.2,0.010879879,-3.5762786865234375e-07,350,1133.2137451171875,0.0003,0.096875,-0.011870065529365093,-8.68190398812294,-505.8,100.0
36,100.0,18432,20,899,-456.01599999999996,,,,,,,,,,,,,
37,100.0,18944,21,900,-455.496,1.0242446660995483,2579.383137512207,0.2,0.013738906,-1.1920928955078125e-07,360,1528.1661376953125,0.0003,0.156640625,-0.018015456304419787,-8.676026159524918,,
38,100.0,19456,21,901,-455.175,1.0219452381134033,2427.2982414245607,0.2,0.014519393,0.0,370,1318.9306640625,0.0003,0.155078125,-0.01659160857088864,-8.6477305829525,,
39,100.0,19968,22,902,-455.04699999999997,1.0170458555221558,2455.1474700927733,0.2,0.014210851,0.0,380,1162.86181640625,0.0003,0.140625,-0.014421638572821393,-8.628015053272247,,
,,20000,,,,1.0229740142822266,2457.9237159729005,0.2,0.015857246,-2.384185791015625e-07,390,1036.978759765625,0.0003,0.164453125,-0.019438304472714663,-8.62545586824417,-506.4,100.0
40,100.0,20480,20,1002,-454.94399999999996,,,,,,,,,,,,,
41,100.0,20992,20,1002,-454.806,1.0249905586242676,2579.6805923461916,0.2,0.017243164,-1.1920928955078125e-07,400,1306.5576171875,0.0003,0.1830078125,-0.009897204616572708,-8.649318993091583,,
42,100.0,21504,21,1003,-454.63800000000003,1.0327301025390625,2616.4712196350097,0.2,0.012026628,1.1920928955078125e-07,410,943.5004272460938,0.0003,0.0970703125,-0.01217926077079028,-8.678584057092667,,
,,22000,,,,1.030769944190979,2752.315497589111,0.2,0.009884041,-1.1920928955078125e-07,420,1170.730712890625,0.0003,0.19140625,-0.009517347061773762,-8.697980755567551,-499.91,100.0
43,100.0,22016,20,1059,-454.49700000000007,,,,,,,,,,,,,
44,100.0,22528,21,1060,-454.48100000000005,1.0305917263031006,2555.7051429748535,0.2,0.025973216,0.0,430,920.97802734375,0.0003,0.1234375,-0.005654677550774067,-8.689620500802993,,
45,100.0,23040,21,1061,-454.21200000000005,1.0316765308380127,2618.6025527954102,0.2,0.020244807,0.0,440,1575.2845458984375,0.0003,0.294140625,0.007016119902255013,-8.688789975643157,,
46,100.0,23552,22,1061,-454.065,1.035930871963501,2557.977397918701,0.2,0.0091070905,0.0,450,1014.063232421875,0.0003,0.1158203125,-0.010702812799718232,-8.706693005561828,,
,,24000,,,,1.0346709489822388,2657.444718170166,0.2,0.01047828,-1.1920928955078125e-07,460,1232.193359375,0.0003,0.1302734375,-0.014020480704493821,-8.717255872488021,-485.12000000000006,100.0
47,100.0,24064,22,1066,-453.91200000000003,,,,,,,,,,,,,
48,100.0,24576,23,1066,-453.772,1.0316747426986694,2700.481372833252,0.2,0.08271825,0.0,470,1564.4014892578125,0.0003,0.2162109375,0.0031918038497678936,-8.702293300628662,,
49,100.0,25088,23,1067,-453.92800000000005,1.0326662063598633,2617.6719261169433,0.2,0.008070852,-4.76837158203125e-07,480,1376.568115234375,0.0003,0.1162109375,-0.01118307951837778,-8.698137652873992,,
50,100.0,25600,23,1068,-453.468,1.0310516357421875,2823.7234016418456,0.2,0.028276945,4.172325134277344e-07,490,1446.624755859375,0.0003,0.3810546875,0.019204844115301968,-8.692087870836257,,
,,26000,,,,1.0296885967254639,2962.31142578125,0.2,0.0101174265,0.0,500,1664.566162109375,0.0003,0.203515625,-0.008580846793483943,-8.685863590240478,-501.43999999999994,100.0
51,100.0,26112,23,1124,-453.334,,,,,,,,,,,,,
52,100.0,26624,23,1124,-453.46700000000004,1.0363067388534546,2774.804958343506,0.2,0.041725818,0.0,510,1208.4793701171875,0.0003,0.222265625,-0.01631411525886506,-8.694990742206574,,
53,100.0,27136,24,1125,-453.595,1.04155695438385,2830.8405479431153,0.2,0.029749505,-1.1920928955078125e-07,520,1622.5914306640625,0.0003,0.1876953125,-8.522369898855686e-05,-8.739566761255265,,
54,100.0,27648,24,1126,-453.43500000000006,1.0435882806777954,2742.736075592041,0.2,0.009833495,-2.384185791015625e-07,530,1458.6451416015625,0.0003,0.23046875,0.0026583072147332134,-8.757677173614502,,
,,28000,,,,1.0396469831466675,2845.3638710021974,0.2,0.014001084,-1.1920928955078125e-07,540,1433.673583984375,0.0003,0.3029296875,-0.003074940771330148,-8.744390690326691,-485.1000000000001,100.0
55,100.0,28160,24,1131,-453.277,,,,,,,,,,,,,
56,100.0,28672,25,1131,-452.99199999999996,1.038817286491394,2791.8069595336915,0.2,0.01168318,0.0,550,1323.7098388671875,0.0003,0.263671875,0.00032788789831101895,-8.741096490621567,,
57,100.0,29184,25,1132,-453.06200000000007,1.0412487983703613,2916.4621086120605,0.2,0.010293983,0.0,560,660.0303955078125,0.0003,0.180078125,-0.011494115111418068,-8.738807690143584,,
58,100.0,29696,26,1133,-453.208,1.0380232334136963,2977.3290229797362,0.2,0.022392645,0.0,570,1669.68212890625,0.0003,0.376953125,0.01530675750109367,-8.74360219836235,,
,,30000,,,,1.0365924835205078,3025.945785522461,0.2,0.016123109,5.960464477539063e-08,580,1031.679931640625,0.0003,0.0990234375,-0.009855658467859029,-8.720382922887802,-507.6,100.0
59,100.0,30208,24,1231,-452.99100000000004,,,,,,,,,,,,,
60,100.0,30720,24,1231,-452.991,1.0378117561340332,3223.625466918945,0.2,0.012230925,0.0,590,1108.4482421875,0.0003,0.2046875,-0.00889127897680737,-8.721413892507552,,
61,100.0,31232,25,1232,-453.1290000000001,1.034090518951416,3043.4607330322265,0.2,0.013003372,5.960464477539063e-08,600,1911.6597900390625,0.0003,0.125390625,-0.007401246525114402,-8.713220930099487,,
62,100.0,31744,25,1233,-453.258,1.0367226600646973,3093.092391204834,0.2,0.028905742,-1.1920928955078125e-07,610,2257.52880859375,0.0003,0.250390625,-0.000516620755661279,-8.705182886123657,,
,,32000,,,,1.0408644676208496,3063.0449645996096,0.2,0.018996429,1.7881393432617188e-07,620,1536.561279296875,0.0003,0.19609375,-0.006288493116153404,-8.727333271503449,-508.2,100.0
63,100.0,32256,24,1331,-453.26199999999994,,,,,,,,,,,,,
64,100.0,32768,24,1331,-453.259,1.043775200843811,3169.368350982666,0.2,0.014885629,-1.1920928955078125e-07,630,1219.417236328125,0.0003,0.1353515625,-0.005241098091937601,-8.747441267967224,,
65,100.0,33280,24,1332,-453.083,1.0410064458847046,3194.156213378906,0.2,0.01449286,0.0,640,1874.932861328125,0.0003,0.1044921875,-0.007812235737219453,-8.745347619056702,,
66,100.0,33792,25,1333,-453.066,1.044095754623413,3151.284475708008,0.2,0.01354955,5.960464477539063e-08,650,2434.523193359375,0.0003,0.1884765625,-0.00512617479544133,-8.746970838308334,,
,,34000,,,,1.044909954071045,3359.8489768981935,0.2,0.011488767,0.0,660,1830.20068359375,0.0003,0.1591796875,-0.007860701205208898,-8.759576332569122,-506.46000000000004,100.0
67,100.0,34304,23,1434,-453.0760000000001,,,,,,,,,,,,,
68,100.0,34816,24,1435,-452.768,1.0428603887557983,3639.539560699463,0.2,0.010885807,0.0,670,2006.8258056640625,0.0003,0.192578125,-0.004134841280756518,-8.756027764081955,,
69,100.0,35328,24,1436,-452.902,1.0430302619934082,3266.756721496582,0.2,0.014965726,0.0,680,1745.9705810546875,0.0003,0.1859375,-0.009651821810984984,-8.749909770488738,,
70,100.0,35840,24,1437,-452.11999999999995,1.0405956506729126,3330.01061706543,0.2,0.012491804,0.0,690,1686.0267333984375,0.0003,0.108984375,-0.010855730291223154,-8.74430056810379,,
,,36000,,,,1.0393365621566772,3278.4543601989744,0.2,0.010489017,1.7881393432617188e-07,700,2380.1328125,0.0003,0.141015625,-0.009590154798934237,-8.733710938692093,-506.1,100.0
71,100.0,36352,23,1534,-451.96,,,,,,,,,,,,,
72,100.0,36864,24,1534,-451.936,1.0359609127044678,3366.9467437744142,0.2,0.01238165,0.0,710,1910.0279541015625,0.0003,0.1498046875,-0.0031708540627732873,-8.717091137170792,,
73,100.0,37376,24,1535,-451.936,1.034891963005066,3391.433895111084,0.2,0.015007458,5.960464477539063e-08,720,3017.679443359375,0.0003,0.1533203125,-0.009689495718339458,-8.704488337039948,,
74,100.0,37888,24,1536,-452.1,1.0361757278442383,3427.126589202881,0.2,0.013168252,5.960464477539063e-08,730,1285.509765625,0.0003,0.2185546875,-0.011711637140251696,-8.70882540345192,,
,,38000,,,,1.0326838493347168,3522.001007080078,0.2,0.012401076,-1.1920928955078125e-07,740,2538.877685546875,0.0003,0.1951171875,-0.011013777332846076,-8.70226229429245,-507.0,100.0
75,100.0,38400,23,1633,-452.2199999999999,,,,,,,,,,,,,
76,100.0,38912,23,1634,-452.074,1.035651445388794,4000.200520324707,0.2,0.011130222,0.0,750,2667.447265625,0.0003,0.1275390625,-0.008929509238805622,-8.697430747747422,,
77,100.0,39424,24,1635,-452.077,1.0382447242736816,3419.6475997924804,0.2,0.012671721,5.960464477539063e-08,760,543.4473876953125,0.0003,0.135546875,-0.014678711246233433,-8.711713194847107,,
78,100.0,39936,24,1636,-452.24800000000005,1.03776216506958,3464.2000022888183,0.2,0.013923574,0.0,770,1439.758544921875,0.0003,0.2052734375,-0.009064873331226408,-8.715602672100067,,
,,40000,,,,1.038789987564087,3503.088468170166,0.2,0.0081929155,5.960464477539063e-08,780,1409.792724609375,0.0003,0.1580078125,-0.007508048988529481,-8.721902638673782,-504.3,100.0
79,100.0,40448,23,1731,-452.2440000000001,,,,,,,,,,,,,
80,100.0,40960,23,1731,-452.1189999999999,1.0396368503570557,3513.385974884033,0.2,0.014081273,1.1920928955078125e-07,790,3134.154296875,0.0003,0.2373046875,-0.009994014783296734,-8.724103635549545,,
81,100.0,41472,23,1732,-452.1409999999999,1.039452075958252,3392.222548675537,0.2,0.014434035,7.152557373046875e-07,800,2788.600341796875,0.0003,0.177734375,-0.009363990812562405,-8.725037145614625,,
82,100.0,41984,24,1733,-452.14,1.0398224592208862,3235.7528633117677,0.2,0.0005371381,-0.0100175142288208,810,1110.0660400390625,0.0003,0.0,-0.003139411477604881,-8.726326525211334,,
