rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,0,1,512,924,-455.64000000000004,,,,,,,,,,,,,
100.0,1,2,1024,699,-458.6499999999999,4048.6580169677736,0.053125,0.004894275,-0.0064160906244069334,1956.2628173828125,0.9994418025016785,0.2,-8.51604967713356,0.0011157989501953125,10,0.0003,,
100.0,2,3,1536,660,-458.58666666666664,4226.689923095703,0.1224609375,0.008437328,-0.015898008784279227,2049.128662109375,1.0007998943328857,0.2,-8.515852338075637,0.0004086494445800781,20,0.0003,,
,,,2000,,,4083.656430053711,0.1111328125,0.008268204,-0.01612804925534874,1696.968017578125,0.9981552362442017,0.2,-8.511301320791244,0.00011217594146728516,30,0.0003,100.0,-506.4
100.0,104,4,2048,19,-459.985,,,,,,,,,,,,,
100.0,105,5,2560,24,-459.10400000000004,4065.7979568481446,0.073828125,0.007069961,-0.012706176564097404,2023.3177490234375,0.9946147203445435,0.2,-8.492039781808852,0.0002321004867553711,40,0.0003,,
100.0,105,6,3072,29,-459.89000000000004,3866.436212158203,0.06171875,0.005235166,-0.010287184198386968,1875.51953125,0.9948338866233826,0.2,-8.480852884054183,1.0788440704345703e-05,50,0.0003,,
100.0,106,7,3584,33,-459.71714285714285,4034.818605041504,0.0197265625,0.0048717456,-0.004602891218382865,1682.9481201171875,0.9906050562858582,0.2,-8.468419992923737,-2.300739288330078e-05,60,0.0003,,
